loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,residential_assets_value_clean,income_bin,loan_bin
1683,1,not graduate,yes,4000000,9400000,8,509,1000000,4100000,10800000,5500000,rejected,1000000,mid,low
1684,2,not graduate,yes,6100000,19400000,8,379,5300000,10800000,14300000,4100000,rejected,5300000,mid,high
1685,5,graduate,no,7100000,14500000,14,664,5300000,12900000,15700000,9200000,approved,5300000,high,mid
1686,0,not graduate,yes,2500000,9900000,6,623,6000000,1800000,6200000,1800000,approved,6000000,low,mid
1687,5,graduate,no,3200000,8700000,16,558,2600000,2500000,9100000,1800000,approved,2600000,low,low
1688,4,graduate,no,1700000,4300000,18,580,1500000,2400000,6600000,1700000,approved,1500000,low,low
1689,4,graduate,no,6300000,17600000,6,612,16000000,3300000,23500000,3200000,approved,16000000,mid,mid
1690,4,graduate,yes,700000,2400000,14,705,0,100000,2000000,700000,approved,0,low,low
1691,4,graduate,yes,1100000,2700000,18,301,2800000,1600000,3300000,1500000,rejected,2800000,low,low
1692,1,not graduate,yes,8900000,32000000,16,711,4300000,1200000,22100000,5200000,approved,4300000,high,high
1693,3,graduate,no,300000,700000,20,735,900000,200000,900000,400000,approved,900000,low,low
1694,1,not graduate,no,2200000,5200000,14,682,2600000,600000,6100000,1800000,approved,2600000,low,low
1695,3,not graduate,no,3400000,13500000,10,348,7900000,3700000,8200000,4700000,rejected,7900000,low,mid
1696,0,graduate,yes,7900000,23500000,20,750,16800000,15300000,21200000,4000000,approved,16800000,high,high
1697,3,not graduate,yes,5800000,18200000,16,835,1000000,6100000,14600000,7900000,approved,1000000,mid,mid
1698,0,graduate,yes,9400000,20000000,6,389,16000000,7100000,19400000,10200000,rejected,16000000,high,high
1699,2,graduate,no,4800000,18900000,4,866,10200000,6000000,13900000,5900000,approved,10200000,mid,mid
1700,3,not graduate,no,7600000,26600000,4,689,5300000,600000,24300000,8600000,approved,5300000,high,high
1701,0,not graduate,no,5900000,17600000,16,645,13000000,3100000,23400000,8600000,approved,13000000,mid,mid
1702,1,graduate,yes,4300000,10100000,2,797,4400000,4500000,16300000,4700000,approved,4400000,mid,mid
1703,5,graduate,no,6100000,17800000,6,849,2900000,10900000,16100000,7800000,approved,2900000,mid,mid
1704,5,graduate,no,5400000,19700000,20,423,6500000,10000000,15700000,7300000,rejected,6500000,mid,high
1705,1,not graduate,yes,5200000,11200000,2,370,9900000,10200000,16700000,6400000,rejected,9900000,mid,mid
1706,5,not graduate,no,8500000,31300000,12,378,21400000,13100000,30400000,8800000,rejected,21400000,high,high
1707,4,not graduate,no,900000,1900000,20,417,1000000,800000,2800000,900000,rejected,1000000,low,low
1708,1,not graduate,no,1400000,4100000,20,530,1200000,1100000,3000000,1900000,rejected,1200000,low,low
1709,1,not graduate,yes,2400000,9300000,20,543,700000,800000,5000000,3400000,rejected,700000,low,low
1710,4,graduate,no,6300000,15000000,18,750,800000,6500000,15400000,7700000,approved,800000,mid,mid
1711,1,graduate,no,3100000,7600000,20,346,700000,4600000,8100000,4400000,rejected,700000,low,low
1712,4,graduate,yes,6900000,19000000,14,330,9300000,7100000,18800000,8400000,rejected,9300000,high,high
1713,2,not graduate,yes,3000000,7400000,10,712,5100000,1000000,11600000,3800000,approved,5100000,low,low
1714,0,not graduate,no,3100000,10100000,14,376,6400000,2600000,11600000,4300000,rejected,6400000,low,mid
1715,4,not graduate,no,600000,1200000,14,338,500000,500000,2300000,500000,rejected,500000,low,low
1716,4,not graduate,yes,4700000,13700000,14,600,12100000,8400000,17700000,5000000,approved,12100000,mid,mid
1717,1,graduate,no,2500000,6900000,20,495,4800000,3300000,5700000,3700000,rejected,4800000,low,low
1718,0,graduate,no,9700000,30400000,4,300,17100000,16600000,38100000,9200000,approved,17100000,high,high
1719,4,not graduate,yes,7600000,20000000,18,691,5000000,8700000,23400000,11200000,approved,5000000,high,high
1720,1,graduate,no,8400000,24700000,8,519,12900000,16700000,17300000,6000000,rejected,12900000,high,high
1721,3,graduate,yes,3800000,15100000,20,540,9400000,1000000,9300000,3600000,rejected,9400000,mid,mid
1722,3,not graduate,yes,3100000,11400000,16,562,3600000,3600000,7200000,3100000,approved,3600000,low,mid
1723,2,not graduate,no,5700000,21300000,10,323,1600000,11200000,16200000,5100000,rejected,1600000,mid,high
1724,1,graduate,yes,5500000,19700000,10,312,12800000,4800000,19500000,3300000,rejected,12800000,mid,high
1725,1,not graduate,yes,200000,600000,2,511,500000,100000,800000,200000,approved,500000,low,low
1726,3,not graduate,yes,3700000,13800000,10,621,4000000,800000,11900000,5300000,approved,4000000,mid,mid
1727,2,not graduate,yes,1600000,4300000,20,512,3200000,2500000,6300000,900000,rejected,3200000,low,low
1728,4,graduate,no,3900000,11000000,2,786,7900000,1600000,10700000,2100000,approved,7900000,mid,mid
1729,3,not graduate,yes,700000,1600000,18,303,600000,500000,2000000,600000,rejected,600000,low,low
1730,3,graduate,yes,5800000,16700000,18,633,8100000,8400000,14700000,3700000,approved,8100000,mid,mid
1731,4,graduate,yes,3800000,14000000,6,711,9500000,7300000,14500000,3100000,approved,9500000,mid,mid
1732,2,graduate,no,6400000,16900000,16,472,11100000,6000000,16300000,4500000,rejected,11100000,mid,mid
1733,1,graduate,yes,5500000,12100000,4,350,6300000,9200000,17200000,6900000,rejected,6300000,mid,mid
1734,1,not graduate,yes,6800000,13700000,10,879,500000,2600000,22000000,6800000,approved,500000,mid,mid
1735,4,not graduate,no,6700000,13400000,10,436,3600000,1200000,23200000,7500000,rejected,3600000,mid,mid
1736,1,graduate,yes,5300000,11500000,14,848,1300000,3600000,14700000,5700000,approved,1300000,mid,mid
1737,2,graduate,no,6600000,23200000,16,555,9900000,6500000,23300000,3300000,approved,9900000,mid,high
1738,2,graduate,no,6600000,13100000,20,885,10900000,4300000,20600000,6200000,approved,10900000,mid,mid
1739,0,not graduate,no,7600000,25200000,6,888,12700000,10900000,24500000,7500000,approved,12700000,high,high
1740,4,not graduate,yes,2500000,6100000,20,478,5900000,800000,9500000,3200000,rejected,5900000,low,low
1741,4,not graduate,no,1100000,2500000,4,603,1900000,1400000,3900000,500000,approved,1900000,low,low
1742,1,not graduate,no,2300000,8200000,8,784,2000000,0,7600000,1100000,approved,2000000,low,low
1743,1,graduate,yes,3300000,11700000,4,682,3500000,5500000,12300000,1600000,approved,3500000,low,mid
1744,4,graduate,yes,2600000,5900000,6,471,3500000,1900000,7300000,3400000,rejected,3500000,low,low
1745,4,not graduate,yes,9300000,36700000,20,808,16500000,14700000,26500000,7100000,approved,16500000,high,high
1746,4,not graduate,no,5300000,18500000,8,470,2900000,9300000,14900000,4900000,rejected,2900000,mid,mid
1747,2,not graduate,no,5400000,13800000,20,574,900000,9200000,10900000,3700000,approved,900000,mid,mid
1748,4,not graduate,yes,3500000,12000000,8,314,7700000,100000,12600000,2700000,rejected,7700000,low,mid
1749,2,graduate,no,4200000,10200000,14,407,5900000,4500000,12000000,2500000,rejected,5900000,mid,mid
1750,0,not graduate,yes,9200000,34900000,4,702,16900000,16000000,24100000,9800000,approved,16900000,high,high
1751,2,graduate,no,4300000,9800000,2,499,4400000,4500000,12600000,5100000,rejected,4400000,mid,mid
1752,1,graduate,yes,7500000,19900000,10,669,1800000,8800000,18100000,7300000,approved,1800000,high,high
1753,5,not graduate,yes,5400000,18800000,20,326,9700000,10100000,14800000,3200000,rejected,9700000,mid,mid
1754,3,not graduate,no,5500000,16200000,18,778,4700000,10700000,15300000,6100000,approved,4700000,mid,mid
1755,2,not graduate,yes,2100000,4500000,2,787,4800000,2800000,6000000,2100000,approved,4800000,low,low
1756,0,graduate,no,3700000,12300000,16,831,8000000,2200000,11200000,2400000,approved,8000000,mid,mid
1757,0,graduate,no,8800000,32900000,18,576,1300000,8700000,32600000,5600000,approved,1300000,high,high
1758,5,not graduate,no,5800000,22800000,12,600,16000000,1100000,20700000,5700000,approved,16000000,mid,high
1759,4,graduate,no,7900000,30600000,2,569,7600000,3400000,20100000,7400000,approved,7600000,high,high
1760,1,not graduate,yes,3100000,6300000,20,867,1900000,6100000,6600000,4000000,approved,1900000,low,low
1761,0,not graduate,no,4100000,14500000,12,441,9900000,300000,15700000,3900000,rejected,9900000,mid,mid
1762,2,not graduate,yes,9800000,32700000,2,304,4700000,19000000,24500000,8600000,approved,4700000,high,high
1763,5,not graduate,no,3300000,8400000,18,520,500000,6300000,11000000,4000000,rejected,500000,low,low
1764,0,graduate,no,2000000,6200000,14,613,100000,1800000,5400000,1300000,approved,100000,low,low
1765,2,not graduate,yes,600000,1100000,8,885,700000,0,1200000,300000,approved,700000,low,low
1766,4,not graduate,yes,3600000,9500000,2,841,4900000,4400000,13500000,2100000,approved,4900000,low,low
1767,2,not graduate,no,7500000,29100000,20,815,12400000,9500000,25300000,9100000,approved,12400000,high,high
1768,5,graduate,yes,200000,400000,18,822,200000,300000,600000,300000,approved,200000,low,low
1769,4,not graduate,no,9900000,29100000,18,772,24100000,19400000,26800000,11700000,approved,24100000,high,high
1770,5,graduate,yes,6100000,22500000,6,776,17600000,9900000,13800000,4800000,approved,17600000,mid,high
1771,4,not graduate,yes,3500000,10300000,10,337,9000000,5600000,10500000,4500000,rejected,9000000,low,mid
1772,0,not graduate,yes,7800000,19000000,12,333,15400000,14900000,30600000,9600000,rejected,15400000,high,high
1773,3,not graduate,yes,8700000,29300000,4,312,9000000,2800000,30000000,4900000,approved,9000000,high,high
1774,2,graduate,yes,5500000,12400000,14,842,-100000,6800000,15800000,5800000,approved,6300000,mid,mid
1775,3,graduate,yes,1800000,5100000,8,790,100000,0,3700000,2000000,approved,100000,low,low
1776,2,graduate,no,8000000,31900000,16,806,19900000,1800000,23200000,5400000,approved,19900000,high,high
1777,5,not graduate,yes,7500000,17000000,8,300,7800000,8300000,18900000,6700000,rejected,7800000,high,mid
1778,5,graduate,yes,3700000,12000000,12,605,4900000,1800000,13200000,3100000,approved,4900000,mid,mid
1779,2,graduate,yes,1600000,4700000,12,582,1500000,1300000,5200000,1000000,approved,1500000,low,low
1780,5,graduate,no,1300000,2700000,6,607,800000,1500000,4700000,1600000,approved,800000,low,low
1781,5,graduate,yes,2400000,8200000,10,709,2100000,3700000,8800000,2800000,approved,2100000,low,low
1782,4,graduate,yes,4100000,11600000,14,854,500000,6900000,12700000,5700000,approved,500000,mid,mid
1783,2,not graduate,yes,7300000,15200000,20,776,14700000,9600000,26400000,4100000,approved,14700000,high,mid
1784,1,graduate,yes,8000000,24600000,12,649,10800000,1600000,21800000,9200000,approved,10800000,high,high
1785,3,not graduate,no,7900000,28000000,4,394,22800000,13200000,18200000,3900000,approved,22800000,high,high
1786,4,not graduate,no,7200000,18900000,16,371,6600000,14100000,18900000,4900000,rejected,6600000,high,mid
1787,3,not graduate,no,6200000,13200000,14,707,17200000,8900000,23100000,4200000,approved,17200000,mid,mid
1788,2,not graduate,yes,5700000,18100000,20,491,6800000,100000,17700000,3900000,rejected,6800000,mid,mid
1789,0,graduate,yes,5800000,14100000,16,570,8200000,4200000,16400000,3700000,approved,8200000,mid,mid
1790,1,not graduate,no,900000,3500000,18,395,2500000,800000,3000000,1300000,rejected,2500000,low,low
1791,0,not graduate,yes,2200000,7500000,10,497,2300000,2100000,5700000,1800000,rejected,2300000,low,low
1792,3,not graduate,yes,1800000,5300000,14,440,2000000,100000,3700000,1000000,rejected,2000000,low,low
1793,0,not graduate,yes,800000,2400000,16,825,700000,0,3100000,1100000,approved,700000,low,low
1794,2,graduate,yes,7600000,18100000,14,320,14700000,2600000,28100000,8500000,rejected,14700000,high,mid
1795,2,graduate,yes,4100000,13500000,4,846,8900000,7800000,11400000,2400000,approved,8900000,mid,mid
1796,3,graduate,yes,4600000,10900000,12,856,13500000,5100000,9400000,3300000,approved,13500000,mid,mid
1797,3,graduate,no,2300000,6800000,10,418,2800000,2700000,6300000,1400000,rejected,2800000,low,low
1798,0,not graduate,yes,8000000,21100000,6,306,16100000,11800000,28200000,8700000,rejected,16100000,high,high
1799,2,not graduate,yes,3800000,14500000,16,567,2400000,2600000,10500000,3000000,approved,2400000,mid,mid
1800,2,not graduate,yes,9500000,36800000,6,493,24100000,13800000,32100000,6200000,rejected,24100000,high,high
1801,2,graduate,no,9300000,21200000,2,509,2800000,2600000,35800000,6600000,rejected,2800000,high,high
1802,4,graduate,no,4700000,17000000,4,364,2900000,4600000,18800000,6200000,approved,2900000,mid,mid
1803,5,not graduate,no,6000000,24000000,20,639,300000,7300000,15100000,6600000,approved,300000,mid,high
1804,2,graduate,yes,5500000,21700000,2,309,11800000,1000000,21600000,7600000,approved,11800000,mid,high
1805,0,not graduate,yes,4600000,14800000,6,433,12100000,4600000,11100000,6700000,rejected,12100000,mid,mid
1806,5,not graduate,no,9900000,33600000,20,580,7000000,10800000,37400000,14700000,approved,7000000,high,high
1807,1,graduate,yes,6200000,16200000,4,888,-100000,12000000,24300000,4000000,approved,6300000,mid,mid
1808,4,not graduate,yes,400000,1100000,6,644,1000000,300000,1600000,400000,approved,1000000,low,low
1809,1,not graduate,yes,7800000,22200000,10,763,11200000,1400000,27000000,4900000,approved,11200000,high,high
1810,0,graduate,yes,2900000,10800000,20,694,6400000,200000,10600000,2100000,approved,6400000,low,mid
1811,3,not graduate,no,500000,1200000,6,757,1300000,100000,1200000,600000,approved,1300000,low,low
1812,0,not graduate,no,2500000,6900000,12,471,7100000,4000000,5200000,1500000,rejected,7100000,low,low
1813,5,not graduate,no,9000000,35200000,2,437,18400000,17800000,18300000,10400000,approved,18400000,high,high
1814,4,not graduate,yes,5200000,11400000,10,406,14700000,2000000,13000000,4400000,rejected,14700000,mid,mid
1815,5,not graduate,no,6000000,19700000,20,376,14700000,10700000,17100000,5500000,rejected,14700000,mid,high
1816,1,graduate,no,5100000,13800000,14,350,6200000,2200000,12600000,3600000,rejected,6200000,mid,mid
1817,5,not graduate,yes,8000000,22500000,20,784,7600000,7300000,26000000,10800000,approved,7600000,high,high
1818,4,graduate,yes,9200000,25400000,14,765,21200000,6600000,25100000,5600000,approved,21200000,high,high
1819,4,not graduate,no,9800000,32200000,18,593,9500000,400000,34000000,14300000,approved,9500000,high,high
1820,3,graduate,yes,7600000,30000000,10,344,19000000,13700000,27600000,11100000,rejected,19000000,high,high
1821,1,graduate,no,5100000,11800000,12,314,14700000,7600000,12400000,4900000,rejected,14700000,mid,mid
1822,4,graduate,yes,1500000,3300000,16,382,200000,2400000,3200000,1100000,rejected,200000,low,low
1823,2,not graduate,yes,6200000,16500000,4,510,14100000,4700000,18200000,6300000,rejected,14100000,mid,mid
1824,2,graduate,yes,6300000,24600000,8,464,7700000,2200000,13000000,6900000,rejected,7700000,mid,high
1825,1,graduate,yes,5500000,14900000,2,403,7400000,8900000,19700000,4100000,rejected,7400000,mid,mid
1826,3,not graduate,no,8100000,30400000,12,606,900000,1100000,31900000,11600000,approved,900000,high,high
1827,1,graduate,no,6300000,22000000,20,646,9500000,7900000,13500000,5500000,approved,9500000,mid,high
1828,1,graduate,no,1100000,3600000,20,495,1600000,1100000,3100000,500000,rejected,1600000,low,low
1829,3,not graduate,yes,7200000,21600000,2,626,10600000,1600000,26900000,3700000,approved,10600000,high,high
1830,1,not graduate,yes,3000000,6000000,16,518,3800000,1700000,11600000,3900000,rejected,3800000,low,low
1831,5,graduate,no,2700000,7600000,8,746,900000,2200000,7200000,3400000,approved,900000,low,low
1832,0,not graduate,no,5000000,16300000,12,737,2600000,3400000,11800000,4400000,approved,2600000,mid,mid
1833,0,not graduate,no,8400000,22300000,14,371,8300000,3700000,22300000,9100000,rejected,8300000,high,high
1834,1,graduate,no,7700000,27300000,8,509,10100000,2200000,20200000,10800000,rejected,10100000,high,high
1835,1,graduate,no,4700000,14000000,2,411,4600000,5100000,10600000,3700000,rejected,4600000,mid,mid
1836,2,not graduate,no,4300000,11800000,20,701,11600000,4600000,14200000,3300000,approved,11600000,mid,mid
1837,5,not graduate,no,2500000,8800000,10,769,3700000,1600000,8200000,2700000,approved,3700000,low,low
1838,5,not graduate,yes,4400000,12500000,6,740,8200000,2300000,9900000,5400000,approved,8200000,mid,mid
1839,5,not graduate,no,5700000,11600000,4,892,10200000,6100000,19800000,7400000,approved,10200000,mid,mid
1840,2,not graduate,no,5300000,13100000,14,417,4900000,6200000,18200000,6800000,rejected,4900000,mid,mid
1841,5,graduate,no,4600000,14400000,6,785,6500000,6300000,14700000,6200000,approved,6500000,mid,mid
1842,3,not graduate,no,400000,1100000,16,504,200000,400000,800000,400000,rejected,200000,low,low
1843,0,not graduate,no,2100000,5900000,14,402,4400000,0,4800000,1000000,rejected,4400000,low,low
1844,2,graduate,yes,1200000,3500000,16,540,3100000,1800000,3500000,800000,rejected,3100000,low,low
1845,2,graduate,yes,8000000,28400000,10,607,11400000,3800000,29000000,11600000,approved,11400000,high,high
1846,1,graduate,yes,5000000,19400000,10,410,11600000,6200000,11700000,4500000,rejected,11600000,mid,high
1847,0,not graduate,no,8500000,17200000,12,624,6500000,8400000,18600000,5100000,approved,6500000,high,mid
1848,4,graduate,no,4600000,16600000,16,805,4800000,8000000,11500000,2800000,approved,4800000,mid,mid
1849,2,graduate,no,4600000,16100000,18,709,7100000,9000000,13800000,5400000,approved,7100000,mid,mid
1850,2,not graduate,yes,8500000,30900000,14,511,23300000,4400000,21900000,5500000,rejected,23300000,high,high
1851,1,graduate,yes,7800000,25100000,18,766,6900000,7200000,16600000,10200000,approved,6900000,high,high
1852,3,not graduate,yes,1400000,3800000,16,451,3100000,1300000,4300000,1300000,rejected,3100000,low,low
1853,1,not graduate,yes,3700000,10200000,4,447,300000,2000000,14500000,3200000,rejected,300000,mid,mid
1854,3,not graduate,yes,1000000,2500000,18,763,400000,1100000,2100000,1400000,approved,400000,low,low
1855,5,not graduate,no,900000,3100000,20,834,1000000,900000,2100000,1300000,approved,1000000,low,low
1856,2,graduate,no,5600000,19500000,8,429,6100000,2200000,21100000,7200000,rejected,6100000,mid,high
1857,4,not graduate,no,3200000,10600000,16,693,7800000,4900000,10400000,1800000,approved,7800000,low,mid
1858,1,graduate,no,2900000,11100000,20,478,4200000,2900000,8500000,3000000,rejected,4200000,low,mid
1859,2,graduate,yes,300000,800000,10,752,600000,300000,1000000,400000,approved,600000,low,low
1860,0,graduate,yes,2400000,5900000,14,319,2000000,4200000,9500000,3300000,rejected,2000000,low,low
1861,3,graduate,no,5000000,17600000,8,303,6300000,9600000,12800000,6900000,rejected,6300000,mid,mid
1862,3,not graduate,yes,5000000,16700000,20,420,1100000,5000000,18700000,6900000,rejected,1100000,mid,mid
1863,2,not graduate,yes,200000,600000,8,552,400000,200000,700000,200000,approved,400000,low,low
1864,3,not graduate,yes,6000000,16000000,12,606,2600000,11600000,19300000,7800000,approved,2600000,mid,mid
1865,2,not graduate,no,5600000,13700000,2,558,7500000,9300000,12100000,6700000,approved,7500000,mid,mid
1866,1,not graduate,no,4500000,12400000,6,504,12000000,3200000,13100000,2200000,rejected,12000000,mid,mid
1867,5,not graduate,yes,200000,300000,8,412,-100000,100000,500000,100000,rejected,2021266,low,low
1868,4,not graduate,yes,6200000,18300000,4,900,16900000,3400000,15300000,6400000,approved,16900000,mid,mid
1869,4,not graduate,yes,9800000,23800000,8,634,12800000,9300000,37600000,6100000,approved,12800000,high,high
1870,5,graduate,yes,3900000,9000000,8,340,4900000,6800000,9000000,5200000,rejected,4900000,mid,low
1871,3,not graduate,yes,8300000,20900000,4,615,4400000,200000,19000000,9600000,approved,4400000,high,high
1872,2,graduate,yes,4900000,12200000,18,353,7000000,200000,14400000,3600000,rejected,7000000,mid,mid
1873,4,graduate,yes,6900000,16300000,8,606,5800000,900000,23700000,3600000,approved,5800000,high,mid
1874,2,not graduate,no,4500000,14500000,18,498,7900000,200000,13500000,4800000,rejected,7900000,mid,mid
1875,4,not graduate,no,7500000,21900000,2,585,6800000,12200000,27500000,8100000,approved,6800000,high,high
1876,1,not graduate,yes,2300000,6400000,8,578,3600000,1800000,7000000,3000000,approved,3600000,low,low
1877,1,graduate,no,7400000,15500000,2,693,3000000,12800000,21800000,9300000,approved,3000000,high,mid
1878,4,graduate,no,4800000,14300000,6,795,5900000,0,11100000,2600000,approved,5900000,mid,mid
1879,1,graduate,no,2600000,9900000,6,594,2900000,4300000,6700000,2500000,approved,2900000,low,mid
1880,3,not graduate,yes,2700000,10600000,8,840,500000,3000000,9000000,1900000,approved,500000,low,mid
1881,3,not graduate,no,3700000,10900000,16,301,7800000,2300000,9600000,3400000,rejected,7800000,mid,mid
1882,4,graduate,yes,2600000,9400000,18,481,2700000,4400000,8600000,2400000,rejected,2700000,low,low
1883,5,not graduate,yes,8800000,23100000,16,531,20800000,2600000,22100000,8000000,rejected,20800000,high,high
1884,2,not graduate,no,7500000,15400000,8,332,8300000,3100000,23700000,5400000,rejected,8300000,high,mid
1885,0,graduate,no,4700000,18500000,4,516,1000000,8400000,10400000,6100000,approved,1000000,mid,mid
1886,2,not graduate,no,7100000,26600000,6,727,16500000,9800000,21100000,7900000,approved,16500000,high,high
1887,3,not graduate,yes,5500000,19300000,10,344,14400000,1300000,12400000,6600000,rejected,14400000,mid,high
1888,2,graduate,no,9500000,31500000,12,650,17600000,16600000,22200000,11400000,approved,17600000,high,high
1889,3,graduate,yes,4200000,15400000,8,362,9900000,5300000,15500000,5600000,rejected,9900000,mid,mid
1890,5,graduate,yes,6900000,18600000,18,307,3500000,4800000,25300000,4200000,rejected,3500000,high,mid
1891,5,graduate,no,9900000,24600000,2,530,24200000,12800000,20400000,13000000,rejected,24200000,high,high
1892,5,graduate,no,6700000,17700000,6,482,3200000,10400000,18500000,5700000,rejected,3200000,mid,mid
1893,0,not graduate,yes,9300000,22200000,14,701,600000,10100000,35900000,5700000,approved,600000,high,high
1894,2,graduate,no,5600000,17200000,16,586,13700000,2100000,14300000,4300000,approved,13700000,mid,mid
1895,0,graduate,yes,8100000,17600000,16,384,15200000,13300000,31700000,10200000,rejected,15200000,high,mid
1896,4,not graduate,no,6000000,18000000,18,882,6700000,2500000,12200000,7500000,approved,6700000,mid,mid
1897,5,not graduate,yes,4200000,11200000,2,758,5300000,6500000,9600000,3800000,approved,5300000,mid,mid
1898,5,graduate,no,1600000,4000000,18,529,300000,1200000,5300000,2000000,rejected,300000,low,low
1899,3,graduate,yes,800000,1500000,2,589,1500000,1100000,1800000,400000,approved,1500000,low,low
1900,1,graduate,no,500000,1300000,6,670,1000000,500000,1400000,700000,approved,1000000,low,low
1901,5,not graduate,yes,4300000,14100000,12,532,12600000,5700000,12000000,4600000,rejected,12600000,mid,mid
1902,0,not graduate,no,4000000,12500000,18,868,11000000,800000,14400000,2300000,approved,11000000,mid,mid
1903,2,not graduate,no,2900000,7300000,2,776,8300000,3000000,8500000,3400000,approved,8300000,low,low
1904,5,graduate,yes,2300000,9100000,16,644,4000000,2600000,6600000,3100000,approved,4000000,low,low
1905,0,graduate,yes,1800000,6000000,12,658,2900000,2300000,4500000,2400000,approved,2900000,low,low
1906,1,graduate,yes,8700000,33900000,10,766,16300000,700000,19500000,9000000,approved,16300000,high,high
1907,3,not graduate,no,7800000,21100000,12,717,1200000,10700000,19900000,6200000,approved,1200000,high,high
1908,2,graduate,no,3200000,6300000,10,339,300000,4900000,7300000,2700000,rejected,300000,low,low
1909,0,not graduate,no,1600000,4500000,18,463,100000,2000000,4100000,1800000,rejected,100000,low,low
1910,4,not graduate,no,2400000,7300000,4,540,2500000,300000,7800000,2200000,approved,2500000,low,low
1911,1,graduate,no,1800000,5900000,16,804,800000,2500000,5000000,1000000,approved,800000,low,low
1912,1,graduate,no,7500000,16000000,10,541,16300000,4500000,22400000,5100000,rejected,16300000,high,mid
1913,4,not graduate,yes,6700000,18400000,10,371,1900000,1400000,15700000,4400000,rejected,1900000,mid,mid
1914,5,graduate,no,5800000,13700000,6,369,10500000,2700000,12100000,3000000,rejected,10500000,mid,mid
1915,0,not graduate,no,500000,1800000,2,651,700000,0,1700000,200000,approved,700000,low,low
1916,0,graduate,yes,9400000,30700000,10,477,17400000,900000,27500000,6200000,rejected,17400000,high,high
1917,4,not graduate,no,1600000,6200000,18,554,3200000,800000,5500000,1100000,approved,3200000,low,low
1918,0,graduate,yes,9300000,25000000,14,362,14900000,16100000,32300000,11000000,rejected,14900000,high,high
1919,5,graduate,no,3700000,14000000,2,469,3800000,600000,8000000,2800000,approved,3800000,mid,mid
1920,3,not graduate,no,900000,1900000,12,547,2400000,400000,3000000,400000,rejected,2400000,low,low
1921,4,not graduate,no,500000,1300000,6,809,200000,300000,900000,500000,approved,200000,low,low
1922,1,graduate,yes,7800000,16200000,2,335,4900000,7900000,28700000,6400000,rejected,4900000,high,mid
1923,5,not graduate,yes,5300000,13700000,18,708,7600000,900000,19200000,5900000,approved,7600000,mid,mid
1924,0,graduate,no,300000,700000,16,779,200000,0,1000000,400000,approved,200000,low,low
1925,0,graduate,yes,5000000,19900000,6,748,8300000,8500000,11300000,3000000,approved,8300000,mid,high
1926,0,graduate,no,7900000,28600000,18,541,400000,3900000,22300000,6700000,rejected,400000,high,high
1927,4,graduate,no,5300000,15800000,2,527,3800000,5200000,19700000,3900000,rejected,3800000,mid,mid
1928,0,not graduate,yes,5500000,15300000,4,859,4600000,9500000,21400000,2900000,approved,4600000,mid,mid
1929,0,graduate,no,1500000,5600000,18,604,2000000,2400000,4400000,1800000,approved,2000000,low,low
1930,5,graduate,no,6600000,20100000,18,348,6900000,2500000,22500000,7200000,rejected,6900000,mid,high
1931,4,graduate,yes,6200000,16200000,20,734,8800000,4000000,14600000,4400000,approved,8800000,mid,mid
1932,3,graduate,no,6300000,17000000,16,388,11700000,2100000,16100000,3200000,rejected,11700000,mid,mid
1933,0,graduate,yes,3800000,8100000,20,831,6500000,1700000,7700000,2000000,approved,6500000,mid,low
1934,5,not graduate,no,500000,1500000,6,433,-100000,700000,1900000,700000,rejected,2021266,low,low
1935,2,graduate,yes,5000000,15900000,16,699,8800000,5900000,18100000,7200000,approved,8800000,mid,mid
1936,0,not graduate,no,4500000,17100000,8,303,7400000,8200000,17400000,4200000,rejected,7400000,mid,mid
1937,4,not graduate,no,1000000,3800000,2,611,1700000,1800000,2500000,600000,approved,1700000,low,low
1938,2,graduate,no,1700000,3700000,20,558,4100000,1400000,5000000,2500000,approved,4100000,low,low
1939,4,graduate,yes,1200000,4800000,2,752,2800000,900000,3000000,600000,approved,2800000,low,low
1940,5,not graduate,yes,8500000,25800000,14,786,13900000,11000000,32400000,11300000,approved,13900000,high,high
1941,0,graduate,no,8600000,29000000,18,481,21200000,2600000,27700000,5400000,rejected,21200000,high,high
1942,2,graduate,no,400000,1300000,16,507,200000,200000,1500000,300000,rejected,200000,low,low
1943,4,graduate,no,8700000,19800000,14,715,13500000,13400000,32000000,8500000,approved,13500000,high,high
1944,0,not graduate,no,1800000,5700000,20,392,3800000,2400000,3500000,1400000,rejected,3800000,low,low
1945,0,graduate,yes,4700000,17700000,16,887,1300000,4900000,13200000,6700000,approved,1300000,mid,mid
1946,0,not graduate,no,7300000,21600000,2,479,17900000,12300000,15900000,7500000,rejected,17900000,high,high
1947,2,graduate,no,8400000,32100000,20,328,16300000,4600000,19500000,8000000,rejected,16300000,high,high
1948,2,graduate,yes,4800000,12900000,8,740,9300000,900000,11000000,3700000,approved,9300000,mid,mid
1949,2,graduate,no,9200000,34200000,2,456,12200000,11300000,25800000,5700000,approved,12200000,high,high
1950,1,not graduate,no,6200000,21100000,10,467,15600000,10500000,23500000,5300000,rejected,15600000,mid,high
1951,0,graduate,yes,200000,700000,10,587,-100000,100000,500000,100000,rejected,2021266,low,low
1952,0,not graduate,yes,2500000,6700000,16,569,4500000,3400000,6200000,1300000,approved,4500000,low,low
