loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
3287739,0, Graduate, Yes,2974809,17101172,14,714,5450459,7904897,7424749,2812475, Approved
5377457,3, Not Graduate, Yes,4049340,4801350,12,467,6237555,1188258,4309494,1753969, Approved
250544,1, Not Graduate, No,549161,1273735,18,513,1356393,11343574,1255673,226562, Rejected
8403615,4, Graduate, No,2304561,6311193,14,467,3901873,2390617,3841223,1074998, Approved
9812896,4, Graduate, No,689419,1593351,4,711,617403,932406,1094644,737512, Approved
2488414,1, Graduate, No,4360506,15572844,12,867,11134561,4397058,7882654,3544994, Approved
11061185,0, Graduate, Yes,380367,612855,20,484,93554,82671,893677,78590, Approved
2892854,3, Graduate, No,4856192,18443077,4,387,1337107,3394122,11925248,4452884, Rejected
10361166,5, Not Graduate, No,1205578,3644830,12,557,1635147,380114,1852339,1190865, Approved
1719041,3, Not Graduate, No,8952524,29185433,20,886,7661450,465167,29514915,9467344, Approved
675637,1, Graduate, No,8845965,13393933,14,894,9761954,9378431,21342534,5258735, Approved
9761663,3, Graduate, No,4265493,12948101,14,588,5264599,4670742,14880279,4296355, Approved
1126780,4, Not Graduate, Yes,6188777,6146555,14,684,708646,1513850,12054423,2491436, Approved
7316684,4, Not Graduate, Yes,9627092,28505090,14,841,11666193,12321214,26675985,11376739, Approved
15957947,1, Not Graduate, Yes,8023418,26548771,12,472,4062933,9792896,26372782,9761482, Approved
7222130,2, Graduate, No,6649013,23402927,6,859,4776877,3497877,19115089,4664971, Approved
4366047,3, Graduate, No,2801963,4634037,12,880,2986566,1960909,5762597,2185366, Approved
10613480,1, Not Graduate, No,7466747,21175736,14,316,11827608,9111719,24913993,5715382, Approved
15974033,2, Not Graduate, Yes,6576854,22352100,10,435,5030641,7714926,28313039,6906663, Approved
523399,4, Graduate, Yes,1193947,9881574,10,406,4540750,4765619,7932822,1037068, Approved
15317305,1, Graduate, Yes,5261959,16278452,14,345,2121616,4500406,18708127,8073245, Rejected
8291409,1, Graduate, Yes,8905046,21831848,6,896,6577337,6963493,17406604,8812970, Approved
6311043,2, Graduate, Yes,3294463,3642463,6,790,3281443,1526258,8245477,3290025, Approved
14836520,4, Graduate, Yes,1623286,3831011,16,398,1104835,3353953,2701668,1694069, Rejected
8124303,2, Graduate, No,7250445,11361265,12,350,5097551,763516,12830181,4250054, Rejected
10904867,3, Not Graduate, Yes,3796095,11068376,4,365,7749665,2235731,19080279,2865310, Rejected
11970615,4, Not Graduate, No,519633,3298150,10,432,4470592,2456586,6405885,131216, Rejected
10851881,1, Not Graduate, Yes,6370706,22610580,6,765,7980874,5776520,18816327,4264336, Approved
1672100,4, Not Graduate, Yes,1843222,9801739,6,841,1381717,2790484,8063835,2890021, Approved
7940167,0, Not Graduate, Yes,1108754,7184997,8,639,6341628,552624,8352892,2008683, Approved
9284224,5, Not Graduate, Yes,8507310,17679648,16,880,1091149,2426908,16790224,6929346, Approved
1184084,2, Graduate, No,2606832,5195302,14,654,1406737,7327005,11591908,2056838, Rejected
1397824,1, Graduate, Yes,786759,2532772,6,828,1071489,274954,2903646,426149, Approved
5415819,4, Graduate, No,7304169,27054469,16,412,17624456,8442718,24281056,8367140, Rejected
14760983,5, Graduate, Yes,1019739,5898155,14,769,329345,95535,2132436,1034932, Approved
15693155,5, Graduate, Yes,3867180,16188889,4,452,6365897,2920180,10656382,2099008, Approved
15948526,2, Graduate, Yes,4559638,15880514,2,426,3121203,5110573,6366621,3646280, Rejected
6912335,4, Not Graduate, Yes,7429074,27740753,12,678,19220332,8572542,20631973,8223006, Approved
11970879,3, Graduate, No,7116286,14372963,6,759,14496547,616492,13571512,4623449, Approved
7295160,2, Not Graduate, Yes,2443855,14000158,10,419,1851300,970477,5019321,2590350, Approved
10140416,3, Graduate, No,337321,642970,4,348,-36380,308448,679976,410719, Rejected
13286105,1, Not Graduate, Yes,1521617,6807833,12,494,7652414,108248,3185308,861553, Rejected
6768503,3, Not Graduate, Yes,6145535,7177086,18,380,6108240,4852730,10546894,1282699, Approved
10492665,3, Not Graduate, Yes,9842846,38190352,2,400,21866117,13767600,36323959,12439236, Approved
7398998,0, Graduate, No,8814660,20409726,8,880,10200300,14248975,20714680,8237016, Approved
508552,1, Not Graduate, Yes,6784519,15928517,20,760,5071910,3651000,18664690,6741488, Approved
13690659,1, Not Graduate, No,657030,3859338,10,518,3823645,1656486,5747002,1829787, Approved
6604166,3, Graduate, Yes,727958,2908244,12,848,4719318,1247795,1780355,1989959, Approved
1359953,0, Graduate, No,6779286,22630871,4,588,5347087,8698963,24775479,7171353, Rejected
9605357,0, Not Graduate, Yes,8580078,17567498,14,463,3472083,4002583,15824953,3236040, Rejected
2139707,4, Not Graduate, Yes,3360281,7048766,10,462,12200633,5302941,11110047,2697374, Approved
16642598,0, Graduate, Yes,3753912,7316800,12,413,1189462,3209147,7385049,5412877, Rejected
10343945,1, Graduate, Yes,7308222,27899680,6,326,7247717,7196423,27768099,5652649, Rejected
14722566,5, Not Graduate, No,8929828,30283042,20,751,7867723,14114881,28210283,7146380, Approved
15989788,5, Not Graduate, No,6950607,11729683,14,648,14072015,5100722,16358058,3612925, Approved
11026070,0, Not Graduate, Yes,3828879,10770552,12,640,15272223,11768379,6566355,1801358, Approved
14337077,3, Not Graduate, Yes,8715694,27699401,20,627,13562526,13575137,17775785,9403695, Approved
15165644,3, Not Graduate, No,5870188,22709590,2,755,22561812,4715003,20222807,4867875, Approved
4989348,2, Graduate, No,4983920,22707938,18,797,2968950,9186801,24230500,9950409, Rejected
11598410,5, Not Graduate, No,8110864,20540481,8,544,24118937,12080719,29229033,9601976, Rejected
4457341,4, Not Graduate, No,1027030,5718959,8,367,28303,268834,6260948,3093227, Rejected
1102522,4, Graduate, No,2457900,4520804,6,719,3181723,2742401,8127980,4470910, Approved
5980443,2, Graduate, No,3032999,11282583,4,813,18424814,9774618,7326443,1007134, Approved
9293674,0, Graduate, No,2621112,14142916,8,694,510904,11980898,8160338,6232018, Approved
893819,5, Not Graduate, No,2497599,27430139,20,670,14789702,12733990,15822293,7366792, Approved
6872911,0, Graduate, Yes,2306694,6113846,16,730,460932,4557156,9598779,1678327, Approved
1110323,5, Not Graduate, No,6440683,12022705,12,851,18320968,7817028,9186771,3864774, Rejected
14107761,5, Graduate, No,3884847,4943563,12,474,3116352,3079790,9175423,2149252, Approved
9848522,1, Graduate, Yes,8613498,14145929,2,716,1664546,1145886,18646317,5446203, Rejected
3902279,5, Not Graduate, Yes,4349483,15190259,4,345,5174723,6680342,18503744,4219809, Rejected
6806933,2, Not Graduate, Yes,1119273,6022964,10,628,3816025,1301213,3014097,1054660, Rejected
13115884,2, Graduate, Yes,8742118,17201392,12,834,4516827,6545525,23219846,8488465, Approved
2195837,5, Not Graduate, No,3492268,3772188,8,583,2804628,3960723,11040347,1914510, Approved
1144672,3, Graduate, Yes,6544036,16383001,20,477,6823660,2800594,14764483,3357595, Approved
3948468,3, Graduate, No,3820041,9072143,8,841,1759394,1383270,10842282,2769083, Approved
9511818,4, Not Graduate, Yes,6695949,19635117,6,851,-76538,565718,11242293,2941648, Approved
9416429,1, Not Graduate, Yes,8802703,23713117,12,889,14667723,12595902,25542939,6054949, Approved
1820289,5, Not Graduate, No,7823473,13309635,16,862,7423184,347812,11315678,1888664, Approved
4974071,1, Graduate, No,8193572,15912582,20,607,3705952,6631926,21959565,5136413, Rejected
13703050,5, Not Graduate, Yes,4162987,3771536,12,665,1267517,5947831,4576046,1606353, Approved
5349516,0, Not Graduate, No,5326536,13272731,2,797,5376239,5305793,9071999,8229002, Approved
14625809,2, Not Graduate, Yes,8379962,24228339,4,815,1679432,2276583,31804358,7067604, Approved
14775512,2, Graduate, Yes,9100155,31750345,20,530,22043359,6049890,25893459,8813511, Rejected
1106244,5, Not Graduate, Yes,9858689,35659237,4,398,20190877,7302325,35932555,11040351, Rejected
6672950,2, Graduate, No,5312422,15558188,6,387,5531977,5766844,8486344,6412496, Approved
880983,5, Not Graduate, Yes,268375,1939506,16,761,1169939,7086867,1010715,318912, Approved
11915252,4, Not Graduate, Yes,5944823,10678600,16,734,5883634,1818557,17799441,4665087, Approved
3295985,5, Graduate, Yes,6594997,13832105,14,511,10221774,3975440,13641936,3318767, Rejected
10855057,0, Graduate, Yes,399713,437344,6,869,-95320,1796173,886688,378749, Approved
7050016,3, Graduate, No,5805376,16934575,6,841,3410456,6871181,14204277,4439303, Approved
14489255,3, Graduate, Yes,1305343,4529122,4,374,286288,69374,7153159,855666, Approved
16624398,1, Not Graduate, No,7106467,15161681,10,644,10043931,3284247,19825978,4191090, Approved
11986303,0, Graduate, Yes,2616946,6783917,18,812,3584388,7726428,9164648,1536481, Approved
11231515,4, Graduate, Yes,9084047,20069301,16,452,22185113,4425018,17700104,8652675, Approved
14395131,2, Not Graduate, No,6546554,14302958,16,603,13067193,7813121,6856190,3124923, Rejected
13034910,1, Not Graduate, Yes,1090054,5429122,10,307,3023967,42709,2123696,477679, Rejected
4300666,3, Not Graduate, Yes,624439,2988428,8,877,1882948,1488816,2449911,5513273, Approved
12946971,2, Not Graduate, No,1136188,2708277,20,394,50497,3605360,3763259,1178480, Rejected
5463948,1, Not Graduate, Yes,2987881,7216563,18,806,10036518,2925778,6063723,3931175, Approved
11433013,3, Graduate, No,9320885,31596733,2,310,3428602,13415753,31104999,8111177, Rejected
16001733,2, Graduate, Yes,2608151,2170084,8,365,577477,981351,6350802,2309379, Approved
2416344,3, Graduate, Yes,7411715,17730383,12,808,959244,2521970,22884917,2801807, Approved
4356299,3, Graduate, Yes,1597614,6634674,2,671,4580802,5650390,5093119,3300305, Approved
12452675,3, Not Graduate, No,4058074,13460656,8,439,4179981,14311982,6894615,5143087, Approved
10247651,4, Graduate, Yes,1602877,2363515,2,616,4525583,1042624,1741749,504693, Approved
5698715,5, Graduate, Yes,4294377,17611525,4,574,8402133,1656864,4616293,3211366, Rejected
5680944,4, Graduate, Yes,3004573,6956588,12,878,1156534,70113,6781664,4097271, Approved
11692255,1, Graduate, No,5002049,19276627,12,478,2488301,7394731,24202480,4289608, Approved
3171560,5, Not Graduate, Yes,7663293,22526251,2,542,10183908,432857,21564528,5643024, Approved
5481712,3, Not Graduate, No,6085553,24570045,18,344,2166375,6879209,13777147,5391538, Rejected
13936682,2, Graduate, Yes,5877689,21180677,14,383,22509702,3650635,15314450,6105874, Rejected
3611934,4, Graduate, No,8919384,27802823,2,458,1277365,17648118,27979776,9819092, Rejected
16248091,5, Not Graduate, No,5347064,7970320,14,525,10873726,2400739,17369424,4250644, Rejected
3023259,3, Not Graduate, Yes,9109199,30211547,20,442,20995925,3754840,20363953,10838600, Rejected
14997901,2, Graduate, Yes,2948691,4266935,18,717,3051423,26314,8590796,3134341, Approved
10019096,4, Graduate, No,5684865,12617853,8,531,1249735,3789485,16298020,4027252, Rejected
13279153,0, Not Graduate, Yes,599328,1022213,6,783,-69978,439867,1091343,97744, Approved
2504627,2, Graduate, Yes,690221,3816400,4,860,10404971,307877,1096629,2449235, Approved
12735810,1, Not Graduate, No,7419770,25150704,4,420,10227298,12933071,23465773,9011111, Rejected
1695154,0, Graduate, Yes,1554514,5333083,4,793,123938,6663821,4541371,1007738, Approved
14155234,4, Not Graduate, No,673122,4842510,18,859,1593759,121244,1705538,874009, Approved
15586310,3, Not Graduate, No,5430650,9082060,4,836,11181309,6984410,12127296,7156488, Rejected
876048,5, Graduate, No,7169450,32147433,4,553,17803198,14153027,20222322,11127915, Approved
3804905,5, Graduate, Yes,9370371,25222300,6,460,21319716,7344456,31348711,9554584, Approved
2642754,0, Not Graduate, Yes,8832465,32060127,4,517,14139219,1325301,26420700,7497891, Rejected
586896,2, Graduate, No,3708363,11225155,8,468,8631774,870085,10820053,2638064, Approved
14563913,1, Graduate, No,7049964,18819115,18,430,5187494,2516765,28067228,6430686, Approved
6592173,4, Not Graduate, Yes,7649964,21186319,14,525,3534026,9337732,17769003,4034164, Approved
11156510,4, Graduate, Yes,1657279,6930359,18,764,2709899,3928935,6380254,1480387, Rejected
14397797,1, Not Graduate, Yes,2270061,7395494,20,617,7114436,215982,14331529,511257, Approved
6017949,0, Not Graduate, Yes,6204528,20686713,8,867,7974847,10821414,18820641,5139719, Rejected
3234034,2, Graduate, Yes,4494896,17977962,4,421,2199811,1004363,6817586,2249844, Approved
3012249,2, Graduate, Yes,6781896,9842192,18,302,2712254,4361753,15977122,6144441, Rejected
10138581,5, Not Graduate, Yes,9761573,34444442,14,337,13397468,5981765,33983788,10112892, Rejected
11082578,2, Not Graduate, No,3515183,8842356,20,378,8501882,3345938,15663961,4026474, Rejected
15176286,2, Graduate, No,5748311,12155033,16,635,4394434,5142833,16752262,7583670, Approved
5133402,4, Not Graduate, No,7477378,21959711,10,780,9987878,3556424,25831144,5311241, Approved
6975259,4, Graduate, No,6683884,28450602,4,690,15091829,9312535,27551844,8468043, Rejected
12411978,3, Not Graduate, No,7846088,20383055,16,381,4607455,11559904,21394259,10786782, Rejected
3771405,3, Graduate, Yes,7693486,18805427,8,594,4390501,7997606,28218034,8400577, Approved
3574250,5, Not Graduate, No,6906704,14631402,16,892,6386304,3242719,8175315,4759071, Approved
10202192,5, Not Graduate, No,7444272,14962922,4,341,569593,7992654,15644546,2963771, Rejected
6039253,1, Not Graduate, No,321652,3233080,16,721,5118625,1605246,2366862,748925, Approved
4811780,1, Not Graduate, Yes,3973712,11319992,16,312,114590,1086010,10700183,1338367, Rejected
5315425,1, Graduate, Yes,7268947,18212702,16,871,7262874,3477665,22534748,4627319, Approved
9272225,5, Graduate, Yes,1145772,4077131,20,741,502954,704648,4057220,1243407, Rejected
11559682,0, Graduate, No,2734485,7939278,6,733,6914355,6303924,4442109,1522673, Approved
1417691,0, Graduate, Yes,8231099,23197114,4,790,23310691,6634064,24251435,10895391, Approved
4910011,1, Not Graduate, Yes,9220422,32933058,4,599,15470275,4433463,25064096,9028913, Rejected
5800840,4, Graduate, No,5473259,11152169,8,395,1249375,510417,15885575,5489085, Rejected
9667404,0, Graduate, No,4560598,6359848,16,323,3769575,5189624,3701695,3550558, Rejected
13834674,3, Not Graduate, No,802083,3983895,2,371,5465134,890814,3836444,660265, Rejected
7462559,2, Graduate, No,1665915,21124097,2,858,4872991,7586090,13653072,1463028, Approved
12015556,5, Not Graduate, Yes,4168271,15208651,6,883,6560930,4289477,15988773,6575788, Approved
6356132,3, Graduate, Yes,6225475,20429277,6,812,14105634,1418919,23797451,4938608, Approved
8425615,0, Not Graduate, Yes,760975,2520562,2,857,2182435,1729087,4505161,710600, Approved
7745564,4, Graduate, No,5282605,9408230,12,688,3082325,2283014,11695294,2558265, Approved
13825409,1, Not Graduate, No,5547790,8925505,12,313,8150007,10924892,23287304,2962848, Approved
6725036,0, Not Graduate, No,1262355,2337695,10,745,1505221,397561,2398713,463965, Approved
14752306,0, Graduate, Yes,4176878,12623002,8,439,14252406,9862512,10781212,3888112, Approved
14240784,4, Not Graduate, No,4585018,9879224,2,813,8661171,338779,13851989,2175412, Rejected
8577784,1, Graduate, Yes,8332992,20197507,12,315,4525072,2489040,21867239,8267798, Rejected
961731,1, Not Graduate, Yes,9475371,22474691,14,682,1155237,6868873,26208623,7186685, Rejected
92106,3, Not Graduate, Yes,3271082,4141040,2,603,1107806,4376514,6991701,2173315, Approved
11849311,2, Not Graduate, No,7105129,11572485,14,544,21918311,1431700,10175806,3913014, Rejected
714184,2, Not Graduate, Yes,6809225,25452102,4,668,12100622,12803099,14498288,4692344, Approved
9609374,0, Not Graduate, No,7236640,21891597,12,874,3892433,584290,23758844,5329989, Approved
7980522,5, Not Graduate, No,9761698,37071226,16,392,18222143,15724186,33453811,11500674, Rejected
3828925,5, Graduate, No,3709639,16724435,16,335,17613162,9280258,13081253,3679346, Rejected
15463764,3, Graduate, No,7023201,13881062,2,501,5976472,3712611,11513078,6191279, Rejected
12510771,2, Graduate, Yes,4657391,6812173,20,346,13186584,2889883,16845157,5730192, Rejected
8244452,5, Not Graduate, Yes,8996834,31492471,20,874,10758696,12459248,25266023,7409676, Approved
12640802,0, Not Graduate, Yes,6571451,15973402,8,737,2710802,5352300,18192733,4151252, Rejected
2192410,0, Graduate, No,2718895,11699306,12,618,4299406,6068059,12238164,1552019, Approved
13887745,3, Graduate, Yes,7223266,23620885,16,670,13172367,5977669,21863605,7394782, Approved
6710827,1, Not Graduate, No,6528802,21927141,6,851,8080302,4410797,14158191,3554833, Approved
12239832,0, Not Graduate, Yes,6862555,21159412,16,473,8077436,10971855,16312091,7201025, Approved
13547554,3, Not Graduate, Yes,2171029,2279372,20,693,5594979,5603020,7809381,931218, Approved
10231610,4, Not Graduate, No,9042389,27870471,20,444,7587571,7631479,22049684,9333722, Approved
11402921,5, Not Graduate, No,4048990,9291837,16,497,8059674,3229045,6743915,1663369, Approved
7561988,3, Not Graduate, Yes,4353541,7707165,16,541,-38590,3834150,13436115,6979677, Approved
12946345,3, Not Graduate, Yes,4686215,9436847,18,481,2125972,2637021,10177532,3014043, Rejected
13413269,0, Not Graduate, Yes,8885853,22811829,8,632,13834153,8741743,23704991,8767021, Approved
2981954,1, Graduate, Yes,653634,4276254,6,834,895346,5368945,3794695,2528561, Approved
15609115,4, Not Graduate, No,3700567,18736702,20,337,7546919,4850352,18143548,4844817, Rejected
8200438,2, Graduate, No,3236459,9635923,8,307,3378860,6384890,11625565,2158577, Approved
6176834,5, Graduate, No,5110734,10706649,2,302,309863,7254275,17156505,2697896, Rejected
11706883,3, Graduate, No,2298630,7718396,20,862,1643715,7625598,7877473,3837767, Approved
13814575,3, Not Graduate, No,6893924,22433687,8,811,7221915,11202029,20567957,6259944, Approved
7664508,3, Not Graduate, No,9042732,19471287,6,318,8859544,11314450,17038268,8734165, Rejected
1466117,0, Graduate, No,2433994,5031738,6,379,3906718,1927007,1552606,413526, Rejected
14219127,0, Not Graduate, No,2312068,3393390,12,348,9137220,616166,3321550,675390, Rejected
3858451,5, Graduate, Yes,7564133,13749867,10,708,6441362,8008150,21357043,2914424, Rejected
2258986,3, Graduate, No,3253100,10693755,18,483,4540049,1043193,7601102,2551207, Approved
6446827,3, Not Graduate, Yes,6779406,7517903,12,877,4065372,10938327,23603994,4813969, Approved
16642657,3, Graduate, Yes,6881086,17041540,18,632,2258712,3822252,17859204,5323166, Approved
11515805,2, Not Graduate, Yes,3388031,20037520,6,329,13884215,4604977,19991702,4044572, Rejected
14184701,5, Graduate, Yes,516191,2442914,2,447,2576216,66765,1184304,516183, Approved
6077681,5, Graduate, No,816233,1175536,18,795,494545,383402,1949240,620271, Approved
5381344,0, Graduate, Yes,4787006,6728091,2,638,695868,547545,5023433,5557498, Approved
10078622,2, Not Graduate, Yes,4284369,5988462,18,466,752764,119550,6026941,3366031, Approved
4359018,4, Not Graduate, No,831655,5986309,10,800,-60084,4573439,1911606,710438, Approved
2817412,3, Graduate, Yes,6973795,11162704,18,413,4486864,6256646,9602814,1434023, Rejected
13499856,0, Graduate, Yes,1757298,9292775,8,716,2856402,5260737,4163939,3096658, Approved
2773092,0, Not Graduate, Yes,4209981,16320640,2,564,1024948,4520896,17907688,9797171, Approved
11797261,5, Not Graduate, Yes,8247793,30292175,12,718,22060263,7918164,24272428,6997875, Approved
3645848,1, Not Graduate, Yes,5359604,17924424,6,746,6826572,8859979,23020430,7365029, Approved
14184652,4, Graduate, No,5238875,15445974,18,539,5405839,9411478,12654984,2256271, Rejected
4029455,3, Not Graduate, Yes,6711162,26398001,14,366,4449987,11499626,19858964,6251747, Approved
1709497,4, Graduate, No,9372527,34195209,10,367,12085810,12727164,31857166,10118903, Rejected
8587147,2, Not Graduate, No,1056162,7615148,8,719,-75460,1983228,6133534,1663096, Approved
3431278,5, Not Graduate, No,2827862,11986581,4,612,3683823,1593924,12034048,1583032, Approved
6796273,1, Not Graduate, Yes,6305298,13262129,14,687,772569,9541031,12260927,4115998, Approved
8609374,0, Not Graduate, Yes,4738028,5557066,6,704,6743495,3746796,13506816,3282549, Approved
4007646,3, Graduate, No,8388981,27735700,16,713,12515803,1605983,26705906,6962266, Rejected
9121923,3, Graduate, Yes,3068314,9391496,12,488,815389,1379315,9861515,2010209, Rejected
6766639,0, Graduate, Yes,362574,2256493,20,487,144850,3900836,3290520,1469515, Approved
54173,5, Not Graduate, No,1198631,6695393,14,462,4244521,118772,6031364,2313915, Rejected
16659566,2, Graduate, No,446898,1947196,16,415,912423,7478549,2447878,457945, Approved
6036938,4, Graduate, No,6160545,20924056,12,688,22504310,3588210,17184358,7994978, Approved
12449650,4, Graduate, No,9091332,26473961,6,321,22866745,571593,27501837,8580511, Rejected
11127888,3, Not Graduate, No,558917,872012,4,680,1805631,422877,4105393,659929, Approved
14302272,4, Not Graduate, No,5452476,11592656,18,436,1798113,9752389,11718990,6284373, Approved
6831264,1, Graduate, Yes,9123232,31079138,14,499,20529395,12179167,35196954,11291021, Rejected
5241029,1, Graduate, Yes,1947465,6845714,4,757,8305781,866906,7557498,3761258, Approved
1990540,2, Not Graduate, No,3604907,8345743,12,628,2017957,8274656,15077039,5647840, Approved
16707208,4, Graduate, Yes,2373880,4719318,2,687,4555408,803865,7226458,893464, Approved
5960960,5, Not Graduate, No,1230108,2801975,6,381,-24426,131074,2549963,640241, Rejected
4708691,4, Graduate, No,2125061,8972264,16,425,12932513,140555,7249253,4685783, Rejected
1101406,4, Not Graduate, Yes,6375979,15299113,2,629,8984947,6176312,12564241,6565465, Rejected
2924658,2, Graduate, Yes,1785557,3374494,2,564,354052,1725262,3194633,1215424, Approved
11151740,4, Graduate, No,6040647,20587494,18,782,1516887,2458902,16476489,1404372, Approved
6500942,0, Graduate, Yes,4194981,19572061,16,718,1089246,15858302,24350341,6562147, Approved
5128435,4, Graduate, Yes,4137516,8829587,16,558,2049761,13507061,17132422,4993318, Approved
15634041,3, Graduate, No,7792515,14758575,10,661,4112435,6304323,20296896,6632981, Approved
7010225,2, Graduate, Yes,4317531,7165521,14,606,189422,3451530,12229185,2096743, Rejected
8810053,3, Graduate, No,2007753,2975489,12,846,1667171,562032,2011289,1356281, Approved
8713328,4, Graduate, Yes,4546412,18695665,20,855,11291202,7084125,22108269,5020827, Rejected
3010634,2, Graduate, No,7905959,24604361,14,477,12711452,5833069,18578332,4618989, Approved
3984072,1, Graduate, No,358232,1052195,6,866,5106,1262233,2572682,115604, Approved
9908104,3, Not Graduate, Yes,2889533,14780786,6,466,3136988,1349001,7168207,3090694, Rejected
8151096,4, Not Graduate, No,6447163,18615967,6,826,11679522,3065218,23938947,9267516, Approved
4224746,1, Not Graduate, No,6853202,20072500,16,765,16149453,3988253,13925813,8263193, Approved
152773,1, Not Graduate, Yes,7898227,20418752,14,749,1432090,6419464,28975399,7133225, Approved
16401650,2, Graduate, Yes,9881262,30614096,2,672,11167357,11655329,35264927,13333597, Approved
12688714,1, Not Graduate, Yes,9220529,31591267,2,524,17139548,7811388,29296741,10562227, Rejected
13578730,3, Not Graduate, Yes,9527433,32029001,12,647,19210827,15994192,33454808,12829861, Rejected
10127063,4, Not Graduate, No,2634852,14302508,14,735,12757737,10809562,12545117,4223628, Approved
3986799,3, Not Graduate, Yes,7402915,9699715,18,792,1555065,595367,13749342,3890829, Rejected
12380825,5, Not Graduate, Yes,7282917,17593421,10,810,13057067,1543757,13404085,7152112, Approved
16169281,1, Graduate, Yes,4997762,16632451,16,532,5512173,6161176,18820807,9606788, Approved
12201032,0, Not Graduate, Yes,2393886,14136739,12,546,1998406,1746795,16003273,2133995, Approved
13772303,0, Graduate, No,1095116,6176123,4,327,563246,771466,2414432,1241806, Rejected
16757998,2, Graduate, No,2115651,10572257,10,850,2350012,606070,9314462,3529661, Approved
12765469,5, Graduate, Yes,6038192,27683648,14,693,4502772,14709508,24050992,5913632, Approved
5876679,5, Not Graduate, Yes,8613168,15835472,20,729,11920260,2628903,20333538,6961905, Approved
9726979,0, Not Graduate, No,8787871,22068715,2,859,7458763,3145871,20920560,7648638, Approved
15756051,0, Not Graduate, No,7116068,30854756,2,303,6674952,12412390,24090214,9568866, Rejected
3980260,4, Graduate, No,9130915,29317463,18,496,24257561,13652666,27738545,12158157, Rejected
3358548,3, Graduate, Yes,9487550,28865713,14,572,6332761,6428671,28904335,7552264, Rejected
13527190,4, Not Graduate, No,2873855,13305583,20,665,4915935,4757084,15541099,2556767, Approved
14740709,3, Not Graduate, Yes,3643369,13438290,2,816,1993093,6849054,7331268,3284887, Approved
6485396,5, Graduate, No,2482713,8498302,16,405,2032340,149452,10164151,8533710, Approved
1445451,3, Not Graduate, No,9046157,27704051,6,839,9911323,4523016,30154611,12406883, Approved
15578389,2, Not Graduate, No,4728266,8150125,4,664,2430938,2272266,13056740,4950959, Approved
10933776,3, Not Graduate, Yes,9452718,19368396,16,611,3294130,533133,22398465,8887579, Approved
6362243,1, Not Graduate, No,8345135,23141121,12,858,14892864,10546175,27933081,11876184, Approved
26306,0, Not Graduate, No,9847274,26360518,16,432,4964780,6376548,35985329,10635797, Approved
7439183,5, Not Graduate, No,9735900,35529275,16,671,21024251,14183447,34525519,10073129, Rejected
16362076,0, Graduate, No,8807070,21593612,20,361,17639723,13672014,25526399,8101493, Rejected
1290674,3, Graduate, Yes,1117153,2306685,8,380,3075577,22622,5111648,1123029, Approved
11529011,2, Not Graduate, Yes,245508,482672,14,301,-46552,2466590,386359,71054, Approved
5010430,1, Graduate, Yes,8423644,17699472,12,853,8403989,4074306,22496125,6914638, Approved
490926,2, Graduate, No,8951951,26472992,12,632,3808460,3994152,24468254,7532488, Rejected
11541308,0, Not Graduate, Yes,8180062,21607188,16,886,750333,4891989,14517327,6904844, Approved
4447133,1, Not Graduate, No,7986555,18076221,12,763,17918759,13604323,23984383,6222432, Approved
4012953,2, Not Graduate, Yes,2018123,7259904,16,621,2709714,7037871,12339765,3099749, Approved
8883288,3, Not Graduate, No,3510506,8571505,20,374,133967,45199,11561470,1535463, Rejected
15305414,0, Not Graduate, No,8180216,31831348,16,366,17743189,6183002,26485674,10063706, Rejected
14530243,0, Graduate, No,6151153,16288653,20,669,16374580,5506259,17326739,3357505, Approved
7153508,4, Graduate, No,8948244,25937253,10,836,7464140,7747313,29656183,9798291, Approved
6893642,1, Graduate, No,9867296,36861643,10,334,26383887,7175089,32778177,10332347, Approved
14932362,3, Not Graduate, Yes,3636543,18153891,20,561,10700702,3113030,12045380,6389195, Approved
12321406,5, Not Graduate, No,2685208,7059012,2,715,103049,261944,4592365,3010301, Approved
3173438,1, Not Graduate, Yes,2426239,3835803,6,649,2337894,1613263,2812267,1884110, Approved
8564269,4, Graduate, Yes,8459866,21371443,6,484,12538657,11221805,29244342,7367828, Approved
7788019,5, Not Graduate, Yes,4848153,9089118,14,393,1763572,5550066,23640462,3760878, Rejected
16461033,0, Not Graduate, No,2536023,10279916,12,648,8073366,9843754,10946207,5230622, Approved
10280333,2, Graduate, Yes,1309205,2326642,10,452,108882,464638,3644454,644912, Rejected
4260113,5, Not Graduate, Yes,783213,2101614,20,640,814827,1586916,2168747,999895, Rejected
918963,1, Not Graduate, Yes,3989525,6285471,4,414,728382,3800322,8960815,3674627, Approved
2721458,2, Not Graduate, Yes,5512944,9663469,6,813,55681,420661,7392002,2600465, Rejected
5082772,0, Not Graduate, Yes,4307562,3121510,6,309,1221207,4570703,4010681,1150064, Rejected
11312189,3, Graduate, No,6200881,14939486,18,313,836338,4606581,16694097,10015251, Rejected
13033196,5, Not Graduate, No,5194035,15498548,18,723,5468594,1558288,22447945,6332764, Rejected
1537839,0, Graduate, No,4888736,13698582,20,341,1513080,2138487,6686783,3049103, Rejected
15481214,2, Not Graduate, Yes,1677218,11280952,6,662,1858186,3137555,3690461,2695637, Approved
